,Gene,Y0a,Y0b,Y1a,Y1b,Y3a,Y3b
4353,ENSG00000123575,0.01859225104554089,0.021083311762404452,6.4162967831677035e-12,3.3766864799445043e-09,1.3273558556979376e-14,4.7476809725517265e-14
4354,ENSG00000123595,5.8714533438179e-07,0.00949834397951603,4.1788838138530677e-16,2.004469704380575e-13,0.002565554942853649,0.011770474140829733
4355,ENSG00000123600,0.05842428185041924,0.07381299560112924,3.1452288769270326e-10,6.963642045867374e-08,5.9176487939949556e-06,3.632108892551819e-05
4356,ENSG00000123607,9.888008589197641e-08,6.500759172291597e-05,0.020043776607210503,0.14555837921127637,0.15097802936188132,0.19825877545590292
4357,ENSG00000123609,0.017165820889385612,0.5344089324807282,4.187840406229872e-11,4.581318774502684e-07,4.002359853783998e-06,4.381066149277404e-05
4358,ENSG00000123612,0.05839628439453126,0.07379058592163222,2.8820490192417e-06,2.3178614502686668e-05,1.6905741823962335e-21,2.4261177316870062e-20
4359,ENSG00000123636,0.06663684203594974,0.08966781413994176,1.1678852350051578e-05,7.94874231359028e-05,0.4160624962134664,0.4255034700460275
4360,ENSG00000123643,0.03864300320049003,0.04227109794719117,0.27019924874412155,0.14175350981151677,0.08474549541267176,0.08040587030214656
4361,ENSG00000123684,0.05650379187012849,0.05151158258529127,9.86741510660463e-18,3.121932629570094e-15,0.778053136321279,0.7634897084863168
4362,ENSG00000123685,0.15245949885134827,0.08486130578594031,0.00022522110063254286,0.0018031160596144148,6.190433338710144e-17,2.685333605695565e-15
4363,ENSG00000123700,0.0015173257237067167,0.020572525803630802,0.12478657013916031,0.1916929058820181,0.0016577153332101608,0.008943023871853615
4364,ENSG00000123728,0.058340327232720854,0.07374578534634137,0.00043900617088917865,0.0008893178856319356,0.02318344997562236,0.025508118176276615
4365,ENSG00000123737,0.022522657783054935,0.017237034313536324,1.1789650622531692e-18,1.3086804282630412e-15,0.0002874186654303391,0.0007296096357239221
4366,ENSG00000123739,7.636610096743051e-05,0.1887282258041363,2.9325262582371216e-05,3.324233328782772e-05,0.0027927595339519553,0.0021438963938532393
