,Gene,Y0a,Y0b,Y1a,Y1b,Y2a,Y2b,Y3a,Y3b
14029,ENSG00000268205,0.0036589164612876356,0.0036589164612876356,2.5041452464665213e-19,2.5041452464665213e-19,2.1277320967463844e-10,2.1277320967463844e-10,4.748165695940109e-06,4.748165695940109e-06
14030,ENSG00000268218,0.003658038150459962,0.003658038150459962,5.098700867602258e-05,5.098700867602258e-05,8.428285632837862e-06,8.428285632837862e-06,2.0207337997185998e-19,2.0207337997185998e-19
14031,ENSG00000268225,0.0036571600496940206,0.0036571600496940206,0.0003639223265810602,0.0003639223265810602,1.5822093051076565e-10,1.5822093051076565e-10,3.0904665567532337e-12,3.0904665567532337e-12
14032,ENSG00000268362,0.003656282158939934,0.003656282158939934,7.759849785145798e-10,7.759849785145798e-10,5.539671168679717e-05,5.539671168679717e-05,4.810119918801602e-09,4.810119918801602e-09
14033,ENSG00000268388,0.07475986213738527,0.07475986213738527,2.415382218552391e-13,2.415382218552391e-13,0.5294527934462161,0.5294527934462161,0.000340185545708929,0.000340185545708929
14034,ENSG00000268460,0.003654527007267921,0.003654527007267921,2.7511998324539955e-06,2.7511998324539955e-06,0.00044358481489005015,0.00044358481489005015,1.0188138903114148e-17,1.0188138903114148e-17
14035,ENSG00000268471,0.0036536497462503164,0.0036536497462503164,4.492871998114531e-14,4.492871998114531e-14,0.0002518765047640739,0.0002518765047640739,1.1700148530838027e-07,1.1700148530838027e-07
14036,ENSG00000268516,0.0036527726950452144,0.0036527726950452144,1.4230156353826839e-08,1.4230156353826839e-08,0.0003857070629738104,0.0003857070629738104,3.4257232772967987e-07,3.4257232772967987e-07
14037,ENSG00000268521,0.00035729868871302355,0.00035729868871302355,3.448354137840984e-16,3.448354137840984e-16,4.737669135233581e-07,4.737669135233581e-07,4.338199205670112e-06,4.338199205670112e-06
14038,ENSG00000268575,0.003651019221873289,0.003651019221873289,0.0025787263100633118,0.0025787263100633118,0.00021772460783198546,0.00021772460783198546,1.0168112664495504e-17,1.0168112664495504e-17
14039,ENSG00000268713,0.003650142799806881,0.003650142799806881,4.615851306246197e-19,4.615851306246197e-19,1.5292334532139793e-08,1.5292334532139793e-08,3.405205770039137e-07,3.405205770039137e-07
14040,ENSG00000268858,0.00364926658735381,0.00364926658735381,1.5264098696034751e-24,1.5264098696034751e-24,1.1982229106726908e-06,1.1982229106726908e-06,8.510164805319326e-16,8.510164805319326e-16
