,GeneSymb,MeanPval,OR,Pval,Y,Score
181,TRIM23,-2.160815205239467,-4.640710174113679,0.000138542,2.287072295785834e-05,10.250883891636958
182,TMEM176B,-1.8624633372942663,-2.114671534578778,0.00240728,0.007620896721360134,13.07527439911706
183,SLC15A2,-2.255982742648841,-3.0654421957548323,4.06138e-05,0.000859378373808224,11.73098433258643
184,SLC15A3,-2.145914727633879,-0.23185364366302808,0.000483857,0.36961641590098104,14.674640899693198
185,MTPAP,-2.7178831034802506,-1.351906335671263,0.000143325,0.04257910849881368,12.98261983183859
186,KIF1C,-1.9542883705767613,-14.687292333806502,0.000270195,2.054507193435043e-15,0.41082856660684186
187,GYPC,-2.376587363255036,-2.7396633386641605,0.000734091,0.0018178016015576498,11.936158569070908
188,SEH1L,-2.353067114596338,-7.4299067914889765,0.000184821,3.716149629318863e-08,7.2694353649047905
189,NTSR2,-2.4911627962037945,-3.1361243673785664,0.000279028,0.0007303958716751366,11.425122107407743
190,KAT2B,-2.94921531548707,-5.716450665188954,6.57358e-05,1.921093490779973e-06,8.38674329031408
191,HIF1A,-2.326356816216095,-1.2324200747110252,0.000151845,0.05531789118534147,13.493632380062984
192,GAB1,-2.2791802206812717,-0.06820619460778467,0.000154479,0.46081786040729306,14.705022855701047
193,ARHGAP5,-2.160630757159517,-5.083284328815242,0.00109302,8.254905123128941e-06,9.808494185015345
194,NDRG3,-1.6169434366408346,-7.460884873974776,0.00191733,3.46031082202528e-08,7.974580960374492
195,ARHGAP1,-1.5722560967627635,-6.641290782490065,0.0011586,2.2840684679398855e-07,8.838862391737276
196,SUCO,-2.17775934526668,0.5937018474045824,0.000228491,0.7969029605026123,15.468351773128006
197,PPM1F,-2.141499724472429,-1.6389565170261824,0.000117958,0.022448287904839367,13.271953029491492
198,THEM5,-1.8629881725896407,-1.705093663702768,0.00164084,0.019338616901436144,13.484327434697695
199,EGR1,-2.011124614350752,-5.505866687950562,4.26504e-05,3.11983737927131e-06,9.53541796868879
200,ZFP36,-2.2484639083106472,-4.057379748139484,0.000818556,8.761575327584836e-05,10.746565614539973
201,HLA-DQB1,-2.3367298014557853,-1.3411768761282044,0.000104066,0.04359771508269154,13.374502593406113
202,PTPN3,-2.7484125220491595,0.41624675767227504,5.59344e-05,0.7228100755629636,14.720243506613219
203,SCRN1,-2.3679617389940244,-2.923442521769395,0.000107184,0.001191351106649066,11.761005010226684
204,GINS1,-2.1120362367772922,-3.4313658854164713,9.27996e-05,0.00037023143926116726,11.509007148796341
205,ACAD8,-1.7851045084780734,-5.587427374703373,0.00196282,2.585660508342459e-06,9.679877387808657
206,PSD,-1.7288003682238235,-17.052409270990104,0.00131091,8.863203666291948e-18,1.7288003682238227
207,B4GAT1,-2.2356460854180855,-3.399448956975789,2.25437e-05,0.00039845379015409623,11.41731422859623
